"Terms of Use","Kullanım Şartları"
"Cookie Policy","Çerez politikası"
"Privacy Policy","Gizlilik Politikası"
"FAQ","SSS"
"Sales Policy","Satış Politikası"
"THIS SERVICE IS PROVIDED BY","BU HİZMETİN SAĞLANMASI"
"Not a member?","Hesabın yok mu?"
"Join Us","Üye ol"
"Continue without log in","Misafir olarak devam et"
"Confirm Email","E-postanı doğrula"
"Choose","Seç"
"Account Access Issues","Hesabıma ulaşamıyorum."
"Nutrition & Ingredient Inquiry","Enerji ve Besin Öğeleri"
"Status of National Promotion","Status of National Promotion"
"Suggestions","Suggestions"
"Other","Diğer"
"Order Confirmation Number","Sipariş referans numarası"
"Back","Geri"
"View Cart","Sepete git"
"Become a Coca-Cola member and be the first to share special moments with the ones you love!","Hemen kayıt ol ve sevdiğin biriyle kutu tasarımını ilk paylaşan sen ol!"
"How it Works","Bildirimler"
"Account Settings","Hesap Ayarları"
"Log Out","Çıkış Yap"
"Hello, %1!","Hoş geldin %1!"
"Select Your Flavour","Kutunu seç"
"Let's do it!","Hadi başlayalım!"
"Request pledge form","Yeni Söz Öner"
"Submit my suggestion","Önerimi gönder"
"Request name form","Yeni̇ i̇si̇m ekleme formu"
"Please type the pledge or name you'd like to use for your can (""%1""). Keep in mind you have a maximum of 36 characters (including spaces) for a pledge and a maximum of 18 characters for a name. If you are requesting more than one name, please separate the names with commas.","Talep ettiğin ismi buraya yazabilirsin. Talebin hakkında geri dönüş belirttiğin iletişim adresine yapılacaktır."
"Thank you for your interest in our store, but we are unable to accept your submission at this time.","İlgin için teşekkürler, ama önerini reddetmemiz gerekti"
"What's Your Resolution?","Daha iyisi için sen ne söyleyeceksin?"
"Select Your Can","Sözünü seç"
"Now... It’s time to fill it in!","Hazırsan kutunu tasarlamaya başlayabilirsin."
"Now customize your resolution","Şimdi sözünü tamamla"
"Make it personal (optional)","Tasarıma isim ekle (opsiyonel)"
"Can't find your pledge?","Başka bir söz vermek mi isterdin?"
"Request a name","Başka isim eklemek istiyorum"
"Please select an approved name from the lists provided.","Lütfen listedeki isimlerden birini seç."
"From","Kimden"
"To","Kime"
"Back to Resolution","Geri dön"
"View and Edit Cart","Gönderiyi Tamamla"
"Enter discount code","Daha Daha kodunu gir"
"Apply Discount","Kodu gir"
"Checkout","Teslimat"
"Cart","Alışveriş Sepeti",module,Magento_Checkout
"Go to Checkout","Devam et"
"%1: Line %2","%1 (%2. Satir)",module,Magento_Checkout
"Cart","Alışveriş Sepeti",module,Magento_Checkout
"Go to Checkout","Devam et"
"Apply Discount","Daha Kodu uygulayın"
"Added","Eklendi"
"Sorry, you are allowed to have only %1 items in total in your cart.","Her gönderide sepetinize sadece %1 adet ürün ekleyebilirsiniz."
"Checkout With Your Account","Daha Daha hesabınla giriş yap"
"By logging in, you agree to Coca Cola's Terms of use and Privacy Policy","Giriş yaparak, Coca-Cola'nın gizlilik ve kullanım koşullarını kabul ediyorsun."
"Back","Geri"
"You have no items in your shopping cart.","Alışveriş sepetinde hiç ürün yok.",module,Magento_Checkout
"%name,","%name,",module,Magento_Email
"Complete your Pledge","Seçtiğin söz"
"Thank you, %store_name","Teşekkür ederim",module,Magento_Email
"No Payment Information Required","Ücretsiz bir şekilde hediye olarak gönderilmiştir"
"Your %store_name order confirmation","Sipariş onayınız",module,Coke_Delivery
"The requested qty exceeds the maximum qty allowed in shopping cart","Sepetine sadece 1 adet ürün ekleyebilirsin"
"You already have an account with us. Click here to sign in.","Daha Daha hesabın bulunuyor. Oturum açmak için buraya tıkla."
"Forgot Your Password?","ŞİFREMİ UNUTTUM"
"A link to reset your password is waiting in your inbox. Please click on the link in the email to reset your password.","E-posta adresine şifreni yenilemen için bir link gönderdik."
"You used coupon code ""%1"".","Kupon kodu ""%1"" kullanılacak.",module,Magento_Checkout
"My billing and shipping address are the same","Gönderin aşağıdaki adrese yapılacaktır."
"You can create an account after checkout.","Teslimat bilgilerini oluşturduktan sonra hesap oluşturabilirsin."
"Enter a valid phone number.","Lütfen geçerli bir telefon numarası verin"
"%name,","%name,"
"Thank you for your order from %store_name.","Sitemizden verdiğiniz sipariş için teşekkür ederiz."
"Free Shipping - Free","Ücretsiz Kargo",module,Coke_Delivery
"Your %store_name order has shipped","Siparişiniz kargoya teslim edildi",module,Coke_Delivery
"Forgot Your Password","ŞİFREMİ UNUTTUM"
"Ship To","Teslim Edilecek"
"Order Confirmed - It will be delivered within 7 to 14 days.","Sipariş Onaylandı - 7 ile 14 gün içinde teslim edilecektir."
"Name","İsim",module,Magento_Contact,Coke_Whitelist
"Confirm Email","E-posta adresini doğrula",module,Magento_Contact,Coke_Whitelist
