"Arabic","عربي"
"ARABIC","عربي"
"Position", "أساسي"
"Create New Customer Account","إنشاء حساب جديد",module,Magento_Customer
"View all","عرض الكل"
"Other questions in this category","أسئلة أخرى في هذه الفئة"
"You already have an account with us. Click here to sign in.","لديك بالفعل حساب معنا .اضغط هنا لتسجيل الدخول."
"You've successfully registered! Please login.","لقد قمت بالتسجيل بنجاح! الرجاء تسجيل الدخول."
"Your password has been changed. Please log into your account again.","تم تغيير كلمة السر الخاصة بك. الرجاء تسجيل الدخول إلى حسابك مرة أخرى."
"A link to reset your password is waiting in your inbox. Please click on the link in the email to reset your password.","رابط لإعادة تعيين كلمة المرور الخاصة بك ينتظر في صندوق الوارد الخاص بك. الرجاء النقر فوق الارتباط الموجود في البريد الإلكتروني لإعادة تعيين كلمة المرور الخاصة بك."
"Your password has successfully been reset.","تم إعادة تعيين كلمة المرور الخاصة بك بنجاح."
"Create New Customer Account","إنشاء حساب جديد",module,Magento_Customer
"View all","عرض الكل"
"Other questions in this category","أسئلة أخرى في هذه الفئة"
"State/Province","المنطقة",module,Magento_Checkout
"Change Language","Change Language",module,Magento_Store
"Create homescreen shortcut","إنشاء إختصار للموقع على صفحتك الرئيسية"
"Share site","شارك الموقع"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","إذا كان لديك إستفسارات حول طلبك، يمكنك مراسلتنا عبر البريد الإلكتروني على <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a> أو الإتصال بنا على"
"Hello, %customer_name,","أهلا %customer_name",module,FortyFour_Voucher
"Thank you for purchasing %voucher_product.","شكراً لشرائك %voucher_product.",module,FortyFour_Voucher
"Your vouchers for %voucher_product are below:","أكواد الكوبوبنات كالاتى:",module,FortyFour_Voucher
"We only accept valid mobile numbers. Landline numbers cannot be accepted.","يتم قبول رقم الهاتف المحمول الصحيح فقط و لا يتم قبول الرقم لارضي"
"Phone Number","رقم الهاتف المحمول"
"Building Number","رقم المبنى"
"Apartment Number","رقم الشقة"
"This order matches an order you have placed recently. Please wait 48 hours before placing the same order again.","شيء واحد لم يكن لدي هو ترجمة رسالة الخطأ التي توصلت إليها. يتطابق هذا الطلب مع طلب قمت بتقديمه مؤخرًا. يرجى الانتظار 48 ساعة قبل تقديم نفس الطلب مرة أخرى."
